Original,Furigana,English,JLPT Level
組み込む,くみこむ,"to insert, to include, to cut in (printing)",N1
組み合わせる,くみあわせる,"to join together, to combine, to join up",N1
蔵,くら,"warehouse, cellar",N1
グレー,グレー,"grey, gray",N1
クレーン,クレーン,crane,N1
玄人,くろうと,"expert, professional",N1
黒字,くろじ,balance (figure) in the black,N1
軍艦,ぐんかん,"warship, battleship",N1
軍事,ぐんじ,military affairs,N1
君主,くんしゅ,"ruler, monarch",N1
群集,ぐんしゅう,"(social) group, crowd, mob",N1
群衆,ぐんしゅう,"(social) group, crowd, mob",N1
軍備,ぐんび,"armaments, military preparations",N1
軍服,ぐんぷく,military or naval uniform,N1
芸,げい,"art, accomplishment, performance",N1
経過,けいか,"passage, progress",N1
軽快,けいかい,"lively, casual, light",N1
警戒,けいかい,"warning, admonition, vigilance",N1
敬具,けいぐ,Sincerely (used at the end of letter),N1
軽減,けいげん,"reduction, lessening",N1
掲載,けいさい,"appearance (e.g., article in paper)",N1
傾斜,けいしゃ,"inclination, slope, dip",N1
形成,けいせい,formation,N1
形勢,けいせい,"condition, situation, prospects",N1
軽率,けいそつ,"thoughtless, careless, hasty",N1
刑罰,けいばつ,"judgment, penalty, punishment",N1
経費,けいひ,"expenses, cost, outlay",N1
警部,けいぶ,police inspector,N1
転換,てんかん,"convert, divert",N1
転居,てんきょ,"moving, changing residence",N1
転勤,てんきん,transfer (to another office of a company),N1
点検,てんけん,"inspection, examination, checking",N1
電源,でんげん,"source of electricity, power (e.g., button on TV)",N1
天国,てんごく,"paradise, heaven, Kingdom of Heaven",N1
天才,てんさい,a genius,N1
天災,てんさい,"natural calamity, disaster",N1
展示,てんじ,"exhibition, display",N1
伝説,でんせつ,"tradition, legend, folklore",N1
点線,てんせん,dotted line,N1
転じる,てんじる,"to turn, to shift",N1
転ずる,てんずる,"to turn, to shift",N1
天体,てんたい,heavenly body,N1
伝達,でんたつ,"transmission (e.g., news, communication, delivery)",N1
天地,てんち,"heaven and earth, the universe",N1
てんで,てんで,"(not) at all, altogether, entirely",N1
転任,てんにん,change of post,N1
展望,てんぼう,"view, outlook, prospect",N1
伝来,でんらい,"ancestral, hereditary, imported",N1
転落,てんらく,"fall, degradation",N1
問い合わせる,といあわせる,"to inquire, to seek information",N1
当～,とう～,"Our ~ (e.g., Hotel, plane, etc.)",N1
胴,どう,"trunk, body, frame",N1
同意,どうい,"agreement, consent; same meaning",N1
動員,どういん,mobilization,N1
同感,どうかん,"agreement, same opinion, same feeling",N1
陶器,とうき,"pottery, ceramics",N1
討議,とうぎ,"debate, discussion",N1
動機,どうき,"motive, incentive",N1
等級,とうきゅう,"grade, class",N1
同級,どうきゅう,"the same grade, same class",N1
同居,どうきょ,living together,N1
登校,とうこう,attendance (at school),N1
統合,とうごう,"integration, unification, synthesis",N1
動向,どうこう,"trend, tendency, movement, attitude",N1
投資,とうし,investment,N1
同情,どうじょう,"sympathy, compassion, sympathize",N1
道場,どうじょう,"(arch) dojo, hall used for martial arts training, mandala",N1
統制,とうせい,"regulation, control",N1
当選,とうせん,"being elected, winning the prize",N1
逃走,とうそう,"flight, desertion, escape",N1
統率,とうそつ,"command, generalship, leadership",N1
到達,とうたつ,"reaching, attaining, arrival",N1
統治,とうち,"rule, reign, governing",N1
仕切る,しきる,"to partition, to divide, to mark off",N1
資金,しきん,"funds, capital",N1
軸,じく,"axis, stem, shaft",N1
しくじる,しくじる,"to fail, to fall through, to blunder",N1
仕組,しくみ,"structure, mechanism",N1
死刑,しけい,death penalty,N1
湿気る,しける,"to be damp, to be moist",N1
施行,しこう,"enforcement, operation",N1
思考,しこう,thought,N1
志向,しこう,"intention, aim",N1
嗜好,しこう,"taste, liking, preference",N1
事項,じこう,"matter(s), item(s), facts",N1
時刻表,じこくひょう,"timetable, (train) schedule",N1
地獄,じごく,hell,N1
時差,じさ,time difference,N1
自在,じざい,"freely, at will",N1
視察,しさつ,"inspection, observation",N1
資産,しさん,"property, fortune, assets",N1
支持,しじ,support,N1
自主,じしゅ,"independence, autonomy",N1
自首,じしゅ,"surrender, give oneself up",N1
刺繍,ししゅう,embroidery,N1
市場,しじょう,(the) market (as a concept),N1
辞職,じしょく,resignation,N1
雫,しずく,drop (of water),N1
システム,システム,system,N1
沈める,しずめる,"to sink, to submerge",N1
施設,しせつ,"establishment, facility",N1
事前,じぜん,"prior, beforehand, in advance",N1
子息,しそく,(hon.) son,N1
持続,じぞく,"continuation, endurance",N1
自尊心,じそんしん,"self-respect, conceit",N1
慕う,したう,to yearn to adore,N1
下心,したごころ,"secret intention, motive",N1
下地,したじ,"groundwork, foundation",N1
親しむ,したしむ,"to be intimate with, to befriend",N1
下調べ,したしらべ,preliminary investigation,N1
愛想,あいそう,sociability,N1
間柄,あいだがら,relationship,N1
合間,あいま,interval,N1
敢えて,あえて,"dare (to do), venture (to do), challenge (to do)",N1
仰ぐ,あおぐ,"to look up (to), to respect; to ask for",N1
垢,あか,"dirt, filth",N1
赤字,あかじ,"deficit, go in the red",N1
明かす,あかす,to reveal; to stay up,N1
赤らむ,あからむ,"to become red, to blush",N1
上がり,あがり,"ascent; income; completion, stop",N1
諦め,あきらめ,"resignation, reconciliation, consolation",N1
アクセル,アクセル,(abbr.) accelerator,N1
あくどい,あくどい,gaudy vicious,N1
顎,あご,chin,N1
憧れ,あこがれ,"yearning, longing, aspiration",N1
麻,あさ,hemp,N1
あざ,あざ,"birthmark, bruise",N1
浅ましい,あさましい,"shameful, mean, despicable",N1
欺く,あざむく,to deceive,N1
鮮やか,あざやか,"vivid, clear",N1
嘲笑う,あざわらう,"to sneer at, to ridicule",N1
悪しからず,あしからず,"don't take me wrong, but..., I'm sorry",N1
味わい,あじわい,"flavor, relish",N1
焦る,あせる,"to be in a hurry, to be impatient",N1
あせる (こえが～),あせる (こえが～),"to fade, to discolor",N1
値,あたい,"value, price, worth",N1
値する,あたいする,"to be worth, to deserve",N1
悪化,あっか,"deterioration, worsen",N1
扱い,あつかい,"treatment, service",N1
呆気ない,あっけない,"not enough, too quick (short, long, etc.)",N1
あっさり,あっさり,"easily, readily, quickly",N1
斡旋,あっせん,"kind offices, mediation",N1
圧倒,あっとう,"overwhelm, overpower",N1
圧迫,あっぱく,"pressure, coercion, oppression",N1
あつらえる,あつらえる,"to give an order, to place an order",N1
圧力,あつりょく,"stress, pressure",N1
当て,あて,expectations; depend,N1
～宛,～あて,"for…(e.g., In a letter)",N1
当て字,あてじ,"phonetic-equivalent character, substitute character",N1
跡継ぎ,あとつぎ,"heir, successor",N1
後回し,あとまわし,"putting off, postponing",N1
油絵,あぶらえ,oil painting,N1
アプローチ,アプローチ,approach (in golf),N1
あべこべ,あべこべ,"contrary, opposite, inverse",N1
甘える,あまえる,"to behave like a spoiled child, to fawn on",N1
雨具,あまぐ,rain gear,N1
甘口,あまくち,sweet flavor,N1
アマチュア,アマチュア,amateur,N1
網,あみ,net,N1
操る,あやつる,"to manipulate, to operate, to pull strings",N1
危ぶむ,あやぶむ,"to fear, to have misgivings, to be doubtful",N1
あやふや,あやふや,"uncertain, vague, ambiguous",N1
過ち,あやまち,"fault, error, indiscretion",N1
誤る,あやまる,to make a mistake,N1
歩み,あゆみ,"step, progress, history",N1
歩む,あゆむ,to walk,N1
予め,あらかじめ,"in advance, previously",N1
荒らす,あらす,to damage; to invade,N1
争い,あらそい,"dispute, quarrel, conflict",N1
改まる,あらたまる,to be renewed; to be formal,N1
荒っぽい,あらっぽい,"rough, rude",N1
アラブ,アラブ,Arab,N1
霰,あられ,"hail (e.g., falling ice balls)",N1
有り様,ありさま,"state, condition",N1
ありのまま,ありのまま,"the truth, as it is, frankly",N1
ありふれる,ありふれる,"common, ordinary, routine",N1
アルカリ,アルカリ,alkali,N1
アルミ,アルミ,"aluminum (Al, aluminum)",N1
アワー,アワー,hour,N1
合わす,あわす,"to join together, to face, to unite",N1
～合せ,～あわせ,in all,N1
アンコール,アンコール,encore,N1
暗殺,あんさつ,assassination,N1
暗算,あんざん,mental arithmetic,N1
暗示,あんじ,"hint, suggestion",N1
案じる,あんじる,"to be anxious, to ponder",N1
安静,あんせい,rest,N1
案の定,あんのじょう,"sure enough, as usual",N1
いい加減,いいかげん,"random, irresponsible",N1
言い訳,いいわけ,"excuse, explanation",N1
イェス,イェス,yes; Jesus,N1
家出,いえで,running away from home,N1
生かす,いかす,to keep something alive; to make use of,N1
いかに,いかに,"how, in what way",N1
いかにも,いかにも,truly (same as 実に (じつに)),N1
異議,いぎ,"objection, dissent, protest",N1
生き甲斐,いきがい,"something one lives for, very important",N1
行き違い,いきちがい,"misunderstanding, disagreement",N1
意気込む,いきごむ,to be enthusiastic about,N1
育成,いくせい,"rearing, training, cultivation",N1
幾多,いくた,"many, numerous",N1
"(花を〜) 生ける, 活ける",(はなを～) いける,to arrange (flowers),N1
異見,いけん,"different opinion, objection",N1
意向,いこう,"intention, idea, inclination",N1
移行,いこう,switching over to,N1
いざ,いざ,"now, come (now), crucial moment",N1
移住,いじゅう,"migration, immigration",N1
衣装,いしょう,"clothing, costume, outfit",N1
いじる,いじる,"to touch, to tamper with",N1
異性,いせい,the opposite sex,N1
遺跡,いせき,historic ruins,N1
依存,いぞん,"dependence, dependent, reliance",N1
委託,いたく,"consign (goods (for sale) to a firm), entrust",N1
いたって,いたって,"very much, exceedingly, extremely",N1
出世,しゅっせ,"promotion, successful career, eminence",N1
出題,しゅつだい,proposing a question,N1
出動,しゅつどう,"mobilization, action",N1
出費,しゅっぴ,"expenses, disbursements",N1
出品,しゅっぴん,"exhibit, display",N1
主導,しゅどう,main leadership,N1
主任,しゅにん,"person in charge, responsible official",N1
首脳,しゅのう,"head, leader",N1
守備,しゅび,defense,N1
手法,しゅほう,technique,N1
樹木,じゅもく,"trees and shrubs, arbor",N1
樹立,じゅりつ,"establish, create",N1
準急,じゅんきゅう,"local express (train, slower than an express)",N1
準じる,じゅんじる,"to follow, to conform, to apply to",N1
～署,～しょ,department,N1
～症,～しょう,disease,N1
～証,～しょう,"proof, certificate",N1
～嬢,～じょう,young woman,N1
上位,じょうい,"superior, higher order",N1
上演,じょうえん,art performance,N1
城下,じょうか,land near the castle,N1
消去,しょうきょ,"elimination, erasing",N1
上空,じょうくう,"sky, high-altitude sky, upper air",N1
衝撃,しょうげき,"shock, crash, impact, ballistic",N1
証言,しょうげん,"evidence, testimony",N1
証拠,しょうこ,"evidence, proof",N1
照合,しょうごう,"check, verification",N1
詳細,しょうさい,"detail, particulars",N1
上昇,じょうしょう,"rising, ascending, climbing",N1
昇進,しょうしん,promotion,N1
称する,しょうする,"to take the name of, to call oneself",N1
情勢,じょうせい,"state of things, condition, situation",N1
消息,しょうそく,"news, letter, circumstances",N1
承諾,しょうだく,"consent, agreement",N1
情緒,じょうちょ,"emotion, feeling",N1
情緒,じょうしょ,"emotion, feeling",N1
象徴,しょうちょう,symbol,N1
小児科,しょうにか,pediatrics,N1
使用人,しようにん,"employee, servant",N1
情熱,じょうねつ,"passion, enthusiasm, zeal",N1
譲歩,じょうほ,"concession, conciliation, compromise",N1
条約,じょうやく,"treaty, pact",N1
勝利,しょうり,"victory, triumph, win",N1
上陸,じょうりく,"landing, disembarkation",N1
蒸溜,じょうりゅう,distillation,N1
奨励,しょうれい,"encouragement, promotion",N1
ショー,ショー,show,N1
除外,じょがい,"exception, exclusion",N1
職員,しょくいん,"staff member, personnel",N1
植民地,しょくみんち,colony,N1
職務,しょくむ,professional duties,N1
諸君,しょくん,"Gentlemen!, Ladies!",N1
助言,じょげん,"advice, suggestion",N1
徐行,じょこう,going slowly,N1
所在,しょざい,whereabouts,N1
所持,しょじ,"possession, owning",N1
所属,しょぞく,"attached to, belong to",N1
処置,しょち,treatment,N1
しょっちゅう,しょっちゅう,"always, constantly",N1
所定,しょてい,"fixed, prescribed",N1
所得,しょとく,income,N1
処罰,しょばつ,punishment,N1
初版,しょはん,first edition,N1
書評,しょひょう,book review,N1
処分,しょぶん,"disposal, dealing, punishment",N1
庶民,しょみん,"masses, common people",N1
庶務,しょむ,general affairs,N1
所有,しょゆう,"one's possessions, ownership",N1
調べ,しらべ,"investigation, inspection",N1
自立,じりつ,"independence, self-reliance",N1
記す,しるす,"to note, to write down",N1
指令,しれい,"orders, instructions, directive",N1
～心,～しん,mind of ~,N1
陣,じん,"battle formation, camp, encampment",N1
進化,しんか,"evolution, progress",N1
人格,じんかく,"personality, character",N1
審議,しんぎ,deliberation,N1
新婚,しんこん,newly-wed,N1
審査,しんさ,"judging, inspection, examination",N1
人材,じんざい,man of talent,N1
紳士,しんし,gentleman,N1
真実,しんじつ,"truth, reality",N1
信者,しんじゃ,"believer, devotee",N1
真珠,しんじゅ,pearl,N1
進出,しんしゅつ,advancement,N1
心情,しんじょう,mentality,N1
新人,しんじん,"new face, newcomer",N1
神聖,しんせい,"holiness, sacredness, dignity",N1
親善,しんぜん,friendship,N1
真相,しんそう,"truth, real situation",N1
迅速,じんそく,"quick, fast, prompt",N1
人体,じんたい,human body,N1
新築,しんちく,"new building, new construction",N1
心中,しんじゅう,double suicide,N1
進呈,しんてい,presentation,N1
進展,しんてん,"progress, development",N1
神殿,しんでん,"temple, sacred place",N1
進度,しんど,progress,N1
振動,しんどう,"oscillation, vibration",N1
新入生,しんにゅうせい,"new student, first-year student, freshman",N1
信任,しんにん,"trust, confidence, credence",N1
神秘,しんぴ,mystery,N1
辛抱,しんぼう,"patience, endurance",N1
人民,じんみん,"people, public",N1
侵略,しんりゃく,"aggression, invasion, raid",N1
診療,しんりょう,medical examination and treatment,N1
粋,すい,essence,N1
水源,すいげん,source of river,N1
推進,すいしん,"propulsion, driving force",N1
吹奏,すいそう,playing wind instruments,N1
推測,すいそく,"guess, conjecture",N1
水田,すいでん,(water-filled) paddy field,N1
推理,すいり,"reasoning, inference, mystery or detective genre",N1
数詞,すうし,numeral,N1
崇拝,すうはい,"worship, adoration",N1
据え付ける,すえつける,"to install, to equip, to mount",N1
据える,すえる,"to set, to lay, to place",N1
すがすがしい,すがすがしい,"fresh, refreshing",N1
救い,すくい,"help, aid, relief",N1
すくう (みずを～),すくう (みずを～),to scoop,N1
健やか,すこやか,"vigorous, healthy, sound",N1
濯ぐ,すすぐ,"to rinse, to wash out",N1
進み,すすみ,progress,N1
裾,すそ,"(trouser) cuff, (skirt) hem, cut edge of a hairdo",N1
スタジオ,スタジオ,studio,N1
スチーム,スチーム,steam,N1
ストライキ,ストライキ,strike,N1
スト,スト,(abbr.) strike,N1
ストロー,ストロー,straw,N1
ストロボ,ストロボ,"stroboscope (literally: strobo, strobe lamp, stroboscopic lamp)",N1
すばしこい,すばしこい,"nimble, smart, quick",N1
素早い,すばやい,"fast, quick",N1
ずばり,ずばり,"decisively, unreservedly, frankly",N1
スプリング,スプリング,spring,N1
スペース,スペース,space,N1
ずぶぬれ,ずぶぬれ,"soaked, dripping wet",N1
スポーツカー,スポーツカー,sports car,N1
澄ます,すます,"to clear, to make clear, to listen for",N1
清ます,すます,"to clear, to make clear, to listen for",N1
済ます,すます,to finish; to settle; to do without,N1
すみやか,すみやか,speedy,N1
スラックス,スラックス,slacks,N1
ずらっと,ずらっと,"in a line, in a row",N1
ずるずる,ずるずる,"dragging on, sound of sniffling",N1
ずれ,ずれ,"difference, gap",N1
すれちがい,すれちがい,chance encounter,N1
擦れる,すれる,"to rub, to chafe",N1
すんなり,すんなり,"pass with no objection, slim, slender",N1
生育,せいいく,"growth, development, breeding",N1
成育,せいいく,"growth, raising",N1
成果,せいか,"results, fruits",N1
正解,せいかい,"correct, right answer, solution",N1
正義,せいぎ,"justice, right, righteousness",N1
生計,せいけい,"livelihood, living",N1
政権,せいけん,"(political) administration, political power",N1
星座,せいざ,constellation,N1
制裁,せいさい,"restraint, sanctions, punishment",N1
政策,せいさく,"political measures, policy",N1
生死,せいし,life and death,N1
静止,せいし,"stillness, repose, standing still",N1
誠実,せいじつ,"sincere, honest, faithful",N1
成熟,せいじゅく,"maturity, ripeness",N1
青春,せいしゅん,"youth, springtime of life, adolescent",N1
清純,せいじゅん,"purity, innocence",N1
聖書,せいしょ,Bible,N1
正常,せいじょう,"normalcy, normality, normal",N1
制する,せいする,"to control, to command",N1
整然,せいぜん,"orderly, regular, well-organized",N1
盛装,せいそう,"be dressed up, wear rich clothes",N1
盛大,せいだい,"grand, prosperous, magnificent",N1
清濁,せいだく,"good and evil, purity and impurity",N1
制定,せいてい,"enactment, establishment, creation",N1
静的,せいてき,static,N1
製鉄,せいてつ,iron manufacture,N1
晴天,せいてん,fine weather,N1
正当,せいとう,"just, due, proper",N1
制服,せいふく,uniform,N1
征服,せいふく,"conquest, subjugation, overcoming",N1
製法,せいほう,"manufacturing method, recipe, formula",N1
精密,せいみつ,"precise, exact, detailed, minute",N1
税務署,ぜいむしょ,tax office,N1
制約,せいやく,"limitation, constraints",N1
勢力,せいりょく,"influence, power, might, strength",N1
整列,せいれつ,"stand in a row, form a line",N1
セール,セール,sale,N1
急かす,せかす,"to hurry, to urge on",N1
伜,せがれ,"son, my son",N1
責務,せきむ,"duty, obligation",N1
セクション,セクション,section,N1
世辞,せじ,"flattery, compliment",N1
世帯,せたい,household,N1
是正,ぜせい,"correction, revision",N1
世代,せだい,generation,N1
切開,せっかい,"opening up, cutting through",N1
セックス,セックス,sex,N1
切実,せつじつ,"compelling, serious, severe, acute",N1
接触,せっしょく,"touch, contact",N1
接続詞,せつぞくし,conjunction,N1
設置,せっち,"establishment, institution",N1
折衷,せっちゅう,"compromise, cross, blending, eclecticism",N1
設定,せってい,"establishment, creation",N1
説得,せっとく,persuasion,N1
切ない,せつない,"painful, trying, sad",N1
絶版,ぜっぱん,out of print,N1
設立,せつりつ,"establishment, foundation, institution",N1
攻め,せめ,"attack, offense",N1
ゼリー,ゼリー,jelly,N1
セレモニー,セレモニー,ceremony,N1
世論,せろん,public opinion,N1
先,せん,"priority, precedence, previous",N1
繊維,せんい,"fiber, fiber, textile",N1
全快,ぜんかい,complete recovery of health,N1
宣教,せんきょう,religious mission,N1
宣言,せんげん,"declaration, proclamation, announcement",N1
戦災,せんさい,war damage,N1
専修,せんしゅう,specialization,N1
戦術,せんじゅつ,tactics,N1
センス,センス,"sense (for music, style, tact, etc.)",N1
潜水,せんすい,diving,N1
全盛,ぜんせい,height of prosperity,N1
先代,せんだい,"family predecessor, previous age, previous generation",N1
先だって,せんだって,"recently, the other day",N1
先着,せんちゃく,first arrival,N1
前提,ぜんてい,"preamble, premise, prerequisite",N1
先天的,せんてんてき,"inherent, congenital, hereditary",N1
前途,ぜんと,"future prospects, outlook, the journey ahead",N1
戦闘,せんとう,"battle, fight, combat",N1
潜入,せんにゅう,"infiltration, sneaking in",N1
船舶,せんぱく,ship,N1
全滅,ぜんめつ,annihilation,N1
専用,せんよう,"exclusive use, personal use",N1
占領,せんりょう,"occupation, possession, have a room to oneself",N1
善良,ぜんりょう,"goodness, excellence, virtue",N1
戦力,せんりょく,war potential,N1
前例,ぜんれい,precedent,N1
相応,そうおう,"suitability, fitness",N1
総会,そうかい,general meeting,N1
創刊,そうかん,"launching (e.g., newspaper, first issue)",N1
雑木,ぞうき,"various kinds of small trees, assorted trees",N1
早急,そうきゅう,urgent,N1
早急,さっきゅう,urgent,N1
増強,ぞうきょう,"reinforce, increase",N1
送金,そうきん,"remittance, sending money",N1
走行,そうこう,"running a wheeled vehicle (e.g., car, traveling)",N1
総合,そうごう,"synthesis, generalization",N1
捜索,そうさく,"search (esp. for someone or something missing, investigation)",N1
蔵相,ぞうしょう,Minister of Finance,N1
装飾,そうしょく,ornament,N1
増進,ぞうしん,"promoting, increase, advance",N1
相対,そうたい,relative,N1
壮大,そうだい,"magnificent, grand, majestic",N1
騒動,そうどう,"strife, riot, rebellion",N1
遭難,そうなん,"disaster, shipwreck, accident",N1
相場,そうば,"market price, speculation, estimation",N1
装備,そうび,equipment,N1
創立,そうりつ,"establishment, founding",N1
添える,そえる,"to add to, to attach, to accompany",N1
ソース,ソース,source,N1
即座に,そくざに,"immediately, right away",N1
促進,そくしん,"promotion, acceleration, encouragement",N1
即する,そくする,"to conform to, to agree with, to be adapted to,",N1
束縛,そくばく,"restraint, restriction, confinement",N1
側面,そくめん,"side, sidelight, lateral",N1
損う,そこなう,"to harm, to hurt",N1
そこら,そこら,"everywhere, somewhere",N1
素材,そざい,"raw materials, subject matter",N1
阻止,そし,"obstruction, check, hindrance",N1
訴訟,そしょう,"litigation, lawsuit",N1
育ち,そだち,"breeding, growth",N1
措置,そち,"measure, step",N1
ソックス,ソックス,socks,N1
素っ気無い,そっけない,"cold, short, curt, blunt",N1
外方,そっぽ,look (or turn) the other way,N1
備え付ける,そなえつける,"to provide, to equip, to install",N1
備わる,そなわる,to be furnished with,N1
具わる,そなわる,to be furnished with,N1
聳える,そびえる,"to rise, to tower, to soar",N1
素朴,そぼく,"simplicity, artlessness, naivety",N1
背く,そむく,"to run counter to, to go against",N1
染まる,そまる,to be dyed,N1
染める,そめる,"to dye, to color",N1
そらす,そらす,"to bend, to warp",N1
そり (～にのる),そり (～にのる),"sleigh, sled",N1
反る,そる,"to warp, to be warped, to curve",N1
それゆえ,それゆえ,"therefore, for that reason, so",N1
ソロ,ソロ,solo,N1
揃い,そろい,"set, suit, uniform",N1
ぞんざい,ぞんざい,"rude, careless, slovenly",N1
損失,そんしつ,loss,N1
存続,そんぞく,"duration, continuance",N1
ダース,ダース,dozen,N1
対応,たいおう,dealing with,N1
大家,たいか,"rich family, distinguished family",N1
退化,たいか,"degeneration, retrogression",N1
大概,たいがい,"in general, mainly",N1
体格,たいかく,"physique, constitution",N1
大金,たいきん,large amount of money,N1
待遇,たいぐう,"treatment, reception",N1
対決,たいけつ,"confrontation, showdown",N1
体験,たいけん,personal experience,N1
対抗,たいこう,"opposition, antagonism",N1
退治,たいじ,extermination,N1
大衆,たいしゅう,general public,N1
対処,たいしょ,"deal with, cope",N1
退職,たいしょく,retirement (from office),N1
題する,だいする,to title,N1
態勢,たいせい,"attitude, conditions, tendency",N1
対談,たいだん,"talk, dialogue",N1
大胆,だいたん,"bold, daring, audacious",N1
対等,たいとう,equivalent,N1
台無し,だいなし,"mess, spoiled, (come to) nothing",N1
滞納,たいのう,"non-payment, default",N1
対比,たいひ,"contrast, comparison",N1
タイピスト,タイピスト,typist,N1
大部,たいぶ,"most (e.g., most part, greater, fairly, a good deal, much)",N1
大便,だいべん,feces,N1
代弁,だいべん,speak for another,N1
待望,たいぼう,"long-expected, waiting",N1
台本,だいほん,"libretto, scenario",N1
タイマー,タイマー,timer,N1
怠慢,たいまん,"negligence, carelessness",N1
タイミング,タイミング,timing,N1
タイム,タイム,time,N1
タイムリー,タイムリー,"timely, run-batted-in (baseball), RBI",N1
対面,たいめん,"interview, meeting",N1
代用,だいよう,substitution,N1
体力,たいりょく,physical strength,N1
タイル,タイル,tile,N1
対話,たいわ,"conversation, dialogue",N1
耐える,たえる,"to endure, to put up with",N1
堪える,たえる,"to endure, to put up with",N1
絶える,たえる,"to die out, to become extinct",N1
断える,たえる,"to cease, to become extinct",N1
打開,だかい,"solution, breakthrough",N1
焚火,たきび,(open) fire,N1
妥協,だきょう,"compromise, giving in",N1
たくましい,たくましい,"burly, strong, sturdy",N1
巧み,たくみ,"skill, cleverness",N1
丈,たけ,"length, height",N1
打撃,だげき,"blow, damage; batting (baseball)",N1
妥結,だけつ,agreement,N1
駄作,ださく,poor work,N1
足し算,たしざん,addition,N1
多数決,たすうけつ,majority rule,N1
助け,たすけ,assistance,N1
携わる,たずさわる,"to engage, to involve",N1
漂う,ただよう,"to drift about, to float, to hang in air",N1
立ち去る,たちさる,"to leave, to depart",N1
立ち寄る,たちよる,"to stop by, to drop in for a short visit",N1
抱っこ,だっこ,(child's) hug,N1
達者,たっしゃ,"skillful, in good health",N1
脱出,だっしゅつ,escape,N1
脱する,だっする,"to escape from, to get out",N1
達成,たっせい,achievement,N1
脱退,だったい,"secession, withdrawal",N1
だったら,だったら,if it's the case,N1
立て替える,たてかえる,"to pay in advance, to pay for another",N1
建前,たてまえ,position; stance one takes in public; principle,N1
奉る,たてまつる,"to offer, to do respectfully",N1
だと,だと,if it's the case,N1
他動詞,たどうし,transitive verb (direct object),N1
辿り着く,たどりつく,"to reach, to make it somehow",N1
辿る,たどる,"to follow (road, to pursue (course), to follow up",N1
束ねる,たばねる,"to tie up in a bundle, to control",N1
だぶだぶ,だぶだぶ,"loose, baggy",N1
他方,たほう,"another side, on the other hand",N1
多忙,たぼう,busy,N1
給う,たまう,"to receive, to grant",N1
魂,たましい,"soul, spirit",N1
溜まり,たまり,"collected things, gathering place, arrears",N1
賜る,たまわる,"to grant, to bestow",N1
保つ,たもつ,"to keep, to preserve, to sustain",N1
たやすい,たやすい,"easy, simple, light",N1
多様,たよう,"diversity, variety",N1
だるい,だるい,"sluggish, feel heavy (tired), languid",N1
弛み,たるみ,"slack, slackening",N1
弛む,たるむ,"to slacken, to loosen, to relax",N1
垂れる,たれる,"to hang, to droop; to drip",N1
タレント,タレント,"talent, star, personality",N1
タワー,タワー,tower,N1
単一,たんいつ,"single, simple, sole",N1
短歌,たんか,31-syllable Japanese poem,N1
担架,たんか,"stretcher, litter",N1
短気,たんき,quick temper,N1
団結,だんけつ,"unity, union, solidarity",N1
探検,たんけん,"exploration, expedition",N1
断言,だんげん,"assertion, declaration, affirmation",N1
短縮,たんしゅく,"shortening, abbreviation, reduction",N1
断然,だんぜん,"firmly, absolutely, definitely",N1
炭素,たんそ,carbon (C),N1
短大,たんだい,junior college,N1
単調,たんちょう,"monotony, monotone, dullness",N1
単独,たんどく,"sole, single",N1
旦那,だんな,"master (of house), husband (informal)",N1
短波,たんぱ,short wave,N1
蛋白質,たんぱくしつ,protein,N1
ダンプ,ダンプ,dump truck,N1
断面,だんめん,cross section,N1
弾力,だんりょく,"elasticity, flexibility",N1
治安,ちあん,"public order, security",N1
チームワーク,チームワーク,teamwork,N1
チェンジ,チェンジ,change,N1
違える,ちがえる,to change,N1
畜産,ちくさん,animal husbandry,N1
畜生,ちくしょう,"beast, brute, damn",N1
蓄積,ちくせき,"accumulation, accumulate, store",N1
地形,ちけい,"landform, geographical features, topography",N1
知性,ちせい,intelligence,N1
乳,ちち,"milk, breast, loop",N1
縮まる,ちぢまる,"to be shortened, to be contracted, to shrink",N1
秩序,ちつじょ,"order, regularity",N1
窒息,ちっそく,suffocation,N1
知的,ちてき,intellectual,N1
着手,ちゃくしゅ,"embarkation, launch",N1
着色,ちゃくしょく,"coloring, coloring",N1
着席,ちゃくせき,"sit down, seat",N1
着目,ちゃくもく,attention,N1
着陸,ちゃくりく,"landing, touch down",N1
着工,ちゃっこう,start of (construction) work,N1
茶の間,ちゃのま,living room (Japanese style),N1
茶の湯,ちゃのゆ,tea ceremony,N1
ちやほや,ちやほや,"pamper, make a fuss of, spoil",N1
チャンネル,チャンネル,a channel,N1
宙返り,ちゅうがえり,"somersault, looping-the-loop",N1
中継,ちゅうけい,"relay, hook-up",N1
忠告,ちゅうこく,"advice, warning",N1
中傷,ちゅうしょう,"slander, libel, defamation",N1
中枢,ちゅうすう,"center, mainstay, nucleus",N1
抽選,ちゅうせん,"lottery, raffle, drawing (of lots)",N1
中断,ちゅうだん,"interruption, suspension, break",N1
中毒,ちゅうどく,poisoning,N1
中腹,ちゅうふく,"mountain side, halfway up",N1
中立,ちゅうりつ,neutrality,N1
中和,ちゅうわ,"neutralize, counteract",N1
～著,～ちょ,written by ~,N1
腸,ちょう,"bowels, intestines",N1
蝶,ちょう,butterfly,N1
超,ちょう,"super-, ultra-, hyper-",N1
調印,ちょういん,"signature, sign, sealing",N1
聴覚,ちょうかく,the sense of hearing,N1
長官,ちょうかん,"chief, (government) secretary",N1
